SKU,Date,Units_Sold,Forecast_Units,Snapshot_Date,Current_Stock,On_Order,Lead_Time_Days,Safety_Stock,Reorder_Point,Inventory_Value,Lead_Time_Weeks,Lead_Time_Demand,Cumulative_Forecast,Available_Supply,Projected_Balance,Stockout_Risk,Below_Safety_Stock,Below_Reorder_Point,Excess_Inventory,Risk_Level,Recommended_Action,Shortage_Units,Excess_Units,Product_Name,Category,Subcategory,Cost_Price,Selling_Price,Sales_At_Risk,Capital_Locked_Overstock,Recommended_Order_Qty,Priority
SKU007,2025-12-28,161,146.5252761656959,2025-12-01,207,460,8,98,237,941442.21,1.1428571428571428,167.45745847508104,593.8291363280638,667,73.17086367193622,False,True,True,False,Replenishment Risk,Review reorder / place order,0.0,0.0,Product 007,Home Decor,Cabinet,7748.2,5114.09,0.0,0.0,25,2
SKU030,2025-12-28,28,28.368432653548442,2025-12-01,166,32,9,43,104,342462.98,1.2857142857142858,36.473699125990855,118.84721956290502,198,79.15278043709498,False,False,True,True,Replenishment Risk,Review reorder / place order,0.0,36.152780437094975,Product 030,Storage,Sofa,5715.03,9433.51,0.0,206614.22478141089,0,2
SKU008,2025-12-28,105,98.31868697739479,2025-12-01,325,155,3,91,161,2165845.5,0.42857142857142855,42.1365801331692,392.53692607704767,480,87.46307392295233,False,True,True,False,Replenishment Risk,Review reorder / place order,0.0,0.0,Product 008,Kitchen,Rug,2775.15,9842.64,0.0,0.0,4,2
SKU046,2025-12-28,58,57.484885854885846,2025-12-01,119,182,4,46,96,563935.05,0.5714285714285714,32.84850620279191,207.16701583385498,301,93.83298416614502,False,False,True,True,Replenishment Risk,Review reorder / place order,0.0,47.832984166145025,Product 046,Furniture,Shelf,1913.03,7175.54,0.0,91505.93369936041,0,2
SKU028,2025-12-28,31,29.505388499300274,2025-12-01,174,55,11,114,337,85058.16,1.5714285714285714,46.36561049890043,125.48173955737812,229,103.51826044262188,False,True,True,False,Replenishment Risk,Review reorder / place order,0.0,0.0,Product 028,Kitchen,Rug,6348.66,3484.09,0.0,0.0,11,2
SKU014,2025-12-28,122,124.2931701448542,2025-12-01,309,334,10,130,299,964407.54,1.4285714285714286,177.561671635506,502.4424285281019,643,140.5575714718981,False,False,True,True,Replenishment Risk,Review reorder / place order,0.0,10.557571471898086,Product 014,Lighting,Cookware,2008.55,2270.75,0.0,21205.4101798809,0,2
SKU016,2025-12-28,104,72.02428829850871,2025-12-01,255,187,11,30,129,512180.25,1.5714285714285714,113.18102446908512,293.85194307986086,442,148.14805692013914,False,False,False,True,Overstock Risk,Consider markdown / reduce replenishment,0.0,118.14805692013914,Product 016,Furniture,Shelf,3637.93,2166.82,0.0,429814.3607114818,0,3
SKU041,2025-12-28,70,70.39287293877149,2025-12-01,440,40,4,78,139,2496001.2,0.5714285714285714,40.224498822155134,277.7048561974765,480,202.2951438025235,False,False,False,True,Overstock Risk,Consider markdown / reduce replenishment,0.0,124.29514380252351,Product 041,Furniture,Chair,4540.24,10336.73,0.0,564329.7836979693,0,3
SKU003,2025-12-28,34,31.361033948998394,2025-12-01,349,12,3,88,123,2145941.67,0.42857142857142855,13.44044312099931,133.77514049703308,361,227.22485950296692,False,False,False,True,Overstock Risk,Consider markdown / reduce replenishment,0.0,139.22485950296692,Product 003,Kitchen,Cushion,589.48,8078.23,0.0,82070.27017980894,0,3
SKU035,2025-12-28,148,122.70124704548752,2025-12-01,670,76,8,137,304,3918347.6,1.1428571428571428,140.2299966234143,501.19959321508924,746,244.80040678491076,False,False,True,True,Replenishment Risk,Review reorder / place order,0.0,107.80040678491076,Product 035,Storage,Lamp,1137.61,10870.19,0.0,122634.82076258233,0,2
SKU043,2025-12-28,126,129.84606329315258,2025-12-01,559,211,12,142,393,2086495.45,1.7142857142857142,222.59325135969013,513.8677729279962,770,256.13222707200384,False,False,True,True,Replenishment Risk,Review reorder / place order,0.0,114.13222707200384,Product 043,Kitchen,Cushion,2605.61,8745.77,0.0,297384.07218108396,0,2
SKU032,2025-12-28,51,57.1905414877062,2025-12-01,278,214,11,60,185,1269626.0,1.5714285714285714,89.8708509092526,216.6539440412135,492,275.3460559587865,False,False,False,True,Overstock Risk,Consider markdown / reduce replenishment,0.0,215.3460559587865,Product 032,Home Decor,Table,3806.6,5612.59,0.0,819736.2966127167,0,3
SKU038,2025-12-28,56,45.07043825682116,2025-12-01,159,310,12,56,175,509262.69,1.7142857142857142,77.26360844026485,184.98271820217587,469,284.0172817978241,False,False,False,True,Overstock Risk,Consider markdown / reduce replenishment,0.0,228.01728179782413,Product 038,Kitchen,Rug,4630.58,3949.1,0.0,1055852.2647473684,0,3
SKU002,2025-12-28,51,60.473184711658405,2025-12-01,526,29,3,94,149,2974319.6,0.42857142857142855,25.917079162139316,235.6802453836857,555,319.3197546163143,False,False,False,True,Overstock Risk,Consider markdown / reduce replenishment,0.0,225.3197546163143,Product 002,Home Decor,Table,3867.09,3805.69,0.0,871331.7698792029,0,3
SKU015,2025-12-28,27,21.73034415730468,2025-12-01,187,245,9,119,265,235038.43,1.2857142857142858,27.939013916534588,88.14690605324415,432,343.85309394675585,False,False,False,True,Overstock Risk,Consider markdown / reduce replenishment,0.0,224.85309394675585,Product 015,Storage,Lamp,5441.06,6212.12,0.0,1223439.1753499354,0,3
SKU005,2025-12-28,108,94.80408696649198,2025-12-01,471,291,6,129,245,3500674.53,0.8571428571428571,81.26064597127883,380.34430857957193,762,381.65569142042807,False,False,False,True,Overstock Risk,Consider markdown / reduce replenishment,0.0,252.65569142042807,Product 005,Storage,Lamp,5543.63,9493.22,0.0,1400629.6706290278,0,3
SKU004,2025-12-28,30,27.203774201407754,2025-12-01,259,254,6,98,196,321905.92,0.8571428571428571,23.31752074406379,113.34530095043189,513,399.6546990495681,False,False,False,True,Overstock Risk,Consider markdown / reduce replenishment,0.0,301.6546990495681,Product 004,Lighting,Cookware,1445.74,6861.57,0.0,436114.26460392255,0,3
SKU036,2025-12-28,30,29.78672416862292,2025-12-01,383,135,3,77,129,574446.38,0.42857142857142855,12.765738929409823,115.89308231790949,518,402.1069176820905,False,False,False,True,Overstock Risk,Consider markdown / reduce replenishment,0.0,325.1069176820905,Product 036,Furniture,Shelf,5430.12,5687.0,0.0,1765369.5758438732,0,3
SKU029,2025-12-28,97,94.5238888759845,2025-12-01,261,520,5,196,329,891602.1,0.7142857142857143,67.51706348284607,372.58851116853594,781,408.41148883146406,False,False,False,True,Overstock Risk,Consider markdown / reduce replenishment,0.0,212.41148883146406,Product 029,Lighting,Organizer,5402.59,11642.45,0.0,1147572.1854459795,0,3
SKU037,2025-12-28,161,138.05272961818818,2025-12-01,355,687,8,315,644,2004500.4,1.1428571428571428,157.7745481350722,621.0398452898521,1042,420.9601547101479,False,False,True,True,Replenishment Risk,Review reorder / place order,0.0,105.96015471014789,Product 037,Home Decor,Cabinet,3901.0,2747.42,0.0,413350.5635242869,0,2
SKU001,2025-12-28,76,85.24671910367631,2025-12-01,771,147,4,159,289,2815160.01,0.5714285714285714,48.71241091638646,328.460082807217,918,589.5399171927829,False,False,False,True,Overstock Risk,Consider markdown / reduce replenishment,0.0,430.5399171927829,Product 001,Furniture,Chair,1758.45,3664.05,0.0,757082.9173876492,0,3
SKU006,2025-12-28,43,40.99954439172866,2025-12-01,359,485,13,129,340,2378877.6,1.8571428571428572,76.14201101321038,151.44600231273017,844,692.5539976872699,False,False,False,True,Overstock Risk,Consider markdown / reduce replenishment,0.0,563.5539976872699,Product 006,Furniture,Shelf,6021.91,8106.04,0.0,3393671.4542129473,0,3
SKU050,2025-12-28,49,32.60085191380975,2025-12-01,328,525,14,69,316,1138983.28,2.0,65.2017038276195,132.15780505246653,853,720.8421949475335,False,False,False,True,Overstock Risk,Consider markdown / reduce replenishment,0.0,651.8421949475335,Product 050,Storage,Sofa,701.85,882.72,0.0,457495.44452392636,0,3
SKU049,2025-12-28,166,138.6112240460129,2025-12-01,780,599,5,206,344,4123321.8,0.7142857142857143,99.0080171757235,592.4048527066723,1379,786.5951472933277,False,False,False,True,Overstock Risk,Consider markdown / reduce replenishment,0.0,580.5951472933277,Product 049,Lighting,Organizer,2063.03,5223.37,0.0,1197785.206720554,0,3
SKU011,2025-12-28,22,17.592595239776106,2025-12-01,753,269,3,179,247,2911918.77,0.42857142857142855,7.539683674189759,72.6272689651934,1022,949.3727310348066,False,False,False,True,Overstock Risk,Consider markdown / reduce replenishment,0.0,770.3727310348066,Product 011,Furniture,Chair,1718.4,1444.56,0.0,1323808.5010102119,0,3
SKU020,2025-12-28,99,79.66762515471726,2025-12-01,1002,353,3,129,227,5550418.68,0.42857142857142855,34.14326792345025,329.5555778613236,1355,1025.4444221386764,False,False,False,True,Overstock Risk,Consider markdown / reduce replenishment,0.0,896.4444221386764,Product 020,Storage,Sofa,6700.01,3897.54,0.0,6006186.592773354,0,3
SKU025,2025-12-28,16,20.826935185185185,2025-12-01,1124,61,14,121,582,4384724.0,2.0,41.65387037037037,81.10241159766159,1185,1103.8975884023384,False,False,False,True,Overstock Risk,Consider markdown / reduce replenishment,0.0,982.8975884023384,Product 025,Storage,Lamp,1333.08,11558.01,0.0,1310281.1171473893,0,3
